Player,Runs,Fours,Sixes,Dots,Wickets,RunsConceded,Overs,StrikeRate,Economy,PerformanceScore
Axar Patel,24462,4.0,1.0,172.0,135,3981,683.7,14139.884393063585,5.8142252081203445,27837
Azhar Ali,5511,0.0,0.0,0.0,4,265,55.5,551100.0,4.6902654867256635,5611
Azhar Mahmood,4151,0.0,0.0,0.0,31,805,104.9,415100.0,7.601510859301227,4926
Balachandra Akhil,1887,0.0,0.0,0.0,6,242,31.2,188700.0,7.515527950310559,2037
Balaji Rao,581,0.0,0.0,0.0,2,93,13.0,58100.0,6.642857142857143,631
Barinder Sran,5462,0.0,0.0,0.0,31,1067,138.5,546200.0,7.648745519713262,6237
Barry McCarthy,1757,0.0,0.0,0.0,8,337,49.0,175700.0,6.74,1957
Basil Thampi,3362,0.0,0.0,0.0,17,694,70.1,336200.0,9.760900140646976,3787
Beau Webster,1289,0.0,0.0,0.0,1,169,22.0,128900.0,7.3478260869565215,1314
Ben Cutting,17021,0.0,0.0,0.0,81,2684,321.6,1702100.0,8.319900805951642,19046
Ben Dunk,1060,0.0,0.0,0.0,2,89,10.0,106000.0,8.090909090909092,1110
Ben Dwarshuis,9534,0.0,0.0,0.0,75,1800,224.8,953400.0,7.971656333038086,11409
Ben Edmondson,1510,0.0,0.0,0.0,15,332,37.9,151000.0,8.534704370179949,1885
Ben Hilfenhaus,14113,0.0,0.0,0.0,113,2824,547.4,1411300.0,5.149525893508388,16938
Ben Laughlin,15115,0.0,0.0,0.0,121,2928,349.4,1511500.0,8.356164383561644,18140
Ben Oakley,159,0.0,0.0,0.0,0,50,4.0,15900.0,10.0,159
Ben Rohrer,155,0.0,0.0,0.0,0,12,1.0,15500.0,6.0,155
Ben Stokes,59332,3.0,0.0,10.0,242,8498,1893.8,539381.8181818182,4.484906058686933,65382
Ben Wheeler,1475,0.0,0.0,0.0,8,320,34.1,147500.0,9.116809116809117,1675
Benjamin Manenti,2730,0.0,0.0,0.0,15,401,58.0,273000.0,6.796610169491525,3105
Benny Howell,335,0.0,0.0,0.0,0,36,5.0,33500.0,6.0,335
Berend Westdijk,330,0.0,0.0,0.0,1,56,7.0,33000.0,7.0,355
Bernard Loots,330,0.0,0.0,0.0,1,44,7.0,33000.0,5.5,355
Beuran Hendricks,4436,0.0,0.0,0.0,31,960,136.7,443600.0,6.971677559912854,5211
Bharat Chipli,179,0.0,0.0,0.0,0,20,1.0,17900.0,10.0,179
Bhargav Bhatt,2209,0.0,0.0,0.0,12,397,48.8,220900.0,7.971887550200804,2509
Bhuvneshwar Kumar,60354,0.0,0.0,0.0,361,10312,2003.7,6035400.0,5.143911807252955,69379
Bilal Asif,1716,0.0,0.0,0.0,14,317,143.4,171600.0,2.1952908587257616,2066
Bilawal Bhatti,1635,0.0,0.0,0.0,8,311,41.1,163500.0,7.3871733966745845,1835
Billy Stanlake,12314,0.0,0.0,0.0,83,2307,301.2,1231400.0,7.6340172071475845,14389
Billy Stelling,210,0.0,0.0,0.0,1,21,10.0,21000.0,1.9090909090909092,235
Bipul Sharma,4248,0.0,0.0,0.0,17,572,70.6,424800.0,7.988826815642459,4673
Bjorn Fortuin,715,0.0,0.0,0.0,3,80,10.0,71500.0,7.2727272727272725,790
Blair Tickner,1107,0.0,0.0,0.0,5,212,22.0,110700.0,9.217391304347826,1232
Blake Dean,167,0.0,0.0,0.0,1,29,2.0,16700.0,9.666666666666666,192
Blessing Mahwire,481,0.0,0.0,0.0,2,59,13.1,48100.0,4.184397163120567,531
Blessing Muzarabani,692,0.0,0.0,0.0,5,107,21.0,69200.0,4.863636363636363,817
Boyd Rankin,6678,0.0,0.0,0.0,40,1114,228.3,667800.0,4.858264282599214,7678
Brad Hodge,3859,0.0,0.0,0.0,18,378,47.0,385900.0,7.875,4309
Brad Hogg,17542,0.0,0.0,0.0,115,3138,542.5,1754200.0,5.773689052437902,20417
Brad Young,778,0.0,0.0,0.0,5,120,18.0,77800.0,6.315789473684211,903
Bradley Kruger,191,0.0,0.0,0.0,0,23,3.3,19100.0,5.348837209302326,191
Brandon Mavuta,449,0.0,0.0,0.0,2,81,12.0,44900.0,6.230769230769231,499
Brendan Doggett,3447,0.0,0.0,0.0,24,630,72.9,344700.0,8.525033829499323,4047
Brendan Drew,470,0.0,0.0,0.0,4,90,12.0,47000.0,6.923076923076923,570
Brendan Nash,984,0.0,0.0,0.0,0,68,16.0,98400.0,4.0,984
Brendan Taylor,331,0.0,0.0,0.0,0,15,3.0,33100.0,3.75,331
Brendon Diamanti,168,0.0,0.0,0.0,0,25,2.0,16800.0,8.333333333333334,168
Brendon McCullum,3067,0.0,0.0,0.0,1,88,28.7,306700.0,2.9629629629629632,3092
Brent Arnel,2816,0.0,0.0,0.0,9,502,156.0,281600.0,3.1974522292993632,3041
Brenton McDonald,174,0.0,0.0,0.0,1,28,3.0,17400.0,7.0,199
Brett Geeves,305,0.0,0.0,0.0,1,91,8.0,30500.0,10.11111111111111,330
Brett Lee,28087,0.0,0.0,0.0,183,5480,1095.3,2808700.0,4.998631761379185,32662
Brian Vitori,1776,0.0,0.0,0.0,6,343,66.5,177600.0,5.0814814814814815,1926
Bruce Martin,2017,0.0,0.0,0.0,10,471,210.0,201700.0,2.2322274881516586,2267
Bryce McGain,456,0.0,0.0,0.0,2,113,10.0,45600.0,10.272727272727273,506
Calum MacLeod,595,0.0,0.0,0.0,1,61,12.0,59500.0,4.6923076923076925,620
Cameron Borgas,156,0.0,0.0,0.0,0,20,1.0,15600.0,10.0,156
Cameron Boyce,12897,0.0,0.0,0.0,87,2163,284.6,1289700.0,7.573529411764706,15072
Cameron Gannon,3367,0.0,0.0,0.0,27,628,69.2,336700.0,8.945868945868945,4042
Cameron Green,1714,0.0,0.0,0.0,0,124,38.0,171400.0,3.1794871794871793,1714
Cameron Stevenson,481,0.0,0.0,0.0,2,69,7.0,48100.0,8.625,531
Cameron Valente,1758,0.0,0.0,0.0,7,282,31.0,175800.0,8.8125,1933
Cameron White,5415,0.0,0.0,0.0,10,581,122.0,541500.0,4.723577235772358,5665
Carl Sandri,320,0.0,0.0,0.0,2,53,6.0,32000.0,7.571428571428571,370
Carlos Brathwaite,16843,0.0,0.0,0.0,84,2818,398.6,1684300.0,7.052052052052051,18943
Chadd Sayers,832,0.0,0.0,0.0,2,146,49.0,83200.0,2.92,882
Chamara Kapugedera,1324,0.0,0.0,0.0,0,90,11.5,132400.0,7.2,1324
Chamara Silva,171,0.0,0.0,0.0,0,21,1.0,17100.0,10.5,171
Chaminda Bandara,468,0.0,0.0,0.0,1,94,11.0,46800.0,7.833333333333333,493
Chaminda Vaas,6972,0.0,0.0,0.0,40,1286,262.7,697200.0,4.876753886992795,7972
Chamu Chibhabha,3492,0.0,0.0,0.0,5,357,79.5,349200.0,4.434782608695652,3617
Chanaka Welegedara,6513,0.0,0.0,0.0,27,1242,259.0,651300.0,4.776923076923077,7188
